,title,text,date
0,"로보어드바이저 수익률 비교, 인공지능 투자 성과는?","그럼 인공지능인 로보어드바이저와 일반 펀드의 운용 성과는 어땠을까요? 2022년 펀드 운용 성과 2022년 우리나라 국민의 일반펀드 평균 투자금액은 약 3749만원이고, 그중 이익을... 저도 그렇지만 이 운용하는 상품을 찾고 계신 분들도 의외로 많습니다. 제가 현재 가입하고 있다는 이야기를 하면 대부분의 반응은 '알려 달라'고 합니다. 많은 분들이...",2023.09.26.
1,AI 인공지능 파이토치 서적으로 가볍게 시작해보죠,인공지능이 표면적으로 한풀 꺽였다고는 하지만 관련된 서적과 툴들은 꾸준하게 발전하고 있습니다. 언어모델 개발뿐만 아니랄 이를 활용하는 프로폼트 엔지니어라고 하는... 인공지능과 코딩 프로그래밍이라는 단어아래 후끈한 이 시장에 알고 있어야 사람을 구하고 일도 시킬 수 있어서 오늘도 공부를 해야 하네요 ^^ 우선 쉽게 접근할 수 있는것 같아서 시작해...,2023.10.02.
2,[종목분석] 의료 인공지능 딥노이드 주가 전망을 살펴봅니다,그 중에서 오늘은 인공지능 딥노이드 주가를 살펴보려고 하는데 해당 종목은 이미 많이 상승한 상태입니다. 그렇다고 버릴 수는 없습니다. 의료관련주들은 이슈성이 강하기 때문에 특정 기간에 집중적으로 상승 또는 하락을 반복합니다. 관심목록에 넣어두었다가 주식 정세를 읽으면서 매수타이밍을 잡으면 됩니다. ▣이란 AI는 Artificial Intelligence의...,2023.08.30.
3,인공지능에 기반한 신약개발 관련 기업들에 대한 생각,"이 글에서는 그동안 단편적으로 언급했던 인공지능에 기반한 신약개발 바이오 기업들에 대한 생각을 간단히 정리하고자 합니다. 오늘 한국 증시에서도 바이오 기업들이 강세를... 리커전 파마슈티컬스는 보도자료를 통해 엔비디아 클라우드 서비스를 사용해 기반 모델의 개발을 가속화할 것이라고 밝혔고, 전날 미국 장에서 장중 한때 121.09% 상승했다가...",2023.07.13.
4,NPU 관련주 뜻 - 인공지능 구글 텔레칩스 칩스앤미디어 주가 전망,NPU 관련주 뜻 - 인공지능 구글 텔레칩스 칩스앤미디어 주가 전망 NPU 뜻 NPU 는 Neural Processing Unit 의 약자로서 인간의 신경망을 따라하여 만들어진 인공신경망을 구현할 수 있는 반도체입니다. 개발의 핵심적인 역할을 합니다. 컴퓨터의 두뇌는 CPU 로 만들어집니다. 중앙처리장치 Central Processing Unit 의 약자이면서 컴퓨터가 해야 하는 거의 모든 계산은...,2023.10.09.
5,인공지능(AI)이 인간의 일자리를 감소시킬 것인가?,"인공지능이 인간의 일자리를 대체? 이 질문은 최근에 사람들의 관심을 끌며 치열한 논쟁을 일으키고 있습니다. ChatGPT, Bard 및 Mindjourney와 같은 인공지능의 신속한 발전은 이 논의를... 그들은 컴퓨터가 인간의 일자리의 현실을 효율적으로 다루지 못하며, 대부분의 작업에 필요한 맥락적 이해, 상상력, 자유의지 및 감성지능 수준이 부족하다고 주장합니다. 일부...",2023.07.13.
6,로봇 인공지능 관련주 BOTZ ETF 리얼리뷰,"요즘 로봇과 인공지능에 대한 투자자들의 관심이 뜨겁습니다. 이에 따라 로봇 관련 주식의 주가 흐름도 상당히 호조를 보이고 있는데요. 이번 글에서는 그중에서도 세계 로봇... BOTZ 포트폴리오 BOTZ는 다양한 로봇 및 기술에 투자하고 있는 기업들로 구성되어 있는데요. 미국을 비롯하여 일본, 스위스 등 다양한 국가의 주식을 보유하고 있습니다. (세...",2023.06.22.
7,"태양광 발전소 고장, 인공지능이 물샐틈없이 관리한다!","한국에너지기술연구원 신재생시스템연구실 고석환 박사 연구진은 인공지능(AI)을 활용한 태양광 발전 고장 진단 기술을 개발했습니다. 10년 이상 태양광발전소 고장진단평가를 수행하며 수집한 I-V곡선* 정보를 데이터베이스화하고, 모델을 적용해 현장에 가지 않고도 태양광 패널의 오염, 성능 저하 등을 95% 이상의 정확도로 판단할 수 있죠. * I-V곡선...",2023.10.10.
8,AI인공지능 관련주 산업의 발달은 기계가 하게되는걸까,"언젠가부터 로봇에관련된 산업들이 다시금 발전을 하고 주목을 받고있으며, 챗gdp라는 기능이 도입이 되면서 AI인공지능에 관련된 사업들이 급부상을 하고있는 중인것 같습니다.... AI 관련주 주가 단순하게 생각을 해보면 일상생활을 하면서 영향을 줄수있는 산업들에도 많이 분포가 되어있겠지만, 우리들이 모르고있는 신기술이라 불리는 곳들에 훨씬더 많은...",2023.09.05.
9,인공지능 AI 스피커 삼성 갤럭시 홈미니 기능,"버들붕어입니다.^^ 이버 시간에는 인공지능 AI 스피커 삼성 갤럭시 홈미니 기능에 대해 자세하게 알아보도록 하겠습니다. 해당 제품은 삼성전자가 개발하여 2020년에 출시를... 사진출처: Samsung 온라인 몰을 이용한 최저가 금액으로는 7만 원대에 AI 스피커 구매할 수 있으며, 앞서 말한 거와 같이 MINI 사이즈라 공간에 대한 제약이 없으며, 사무실 및 좁은...",2023.09.04.
10,빙 챗gpt 쓰려면 엣지 브라우저로! 너만 몰라 인공지능 팁,"너만 몰라 인공지능 팁 by 엔돌슨 2023. 6. 30. 빙 챗gpt 쓰려면 엣지 브라우저로! 너만 몰라 인공지능 팁 응 너만 인공지능 쓸줄 몰라! 그래서 쉽게 Microsoft Edge 브라우저에서 ChatGPT를 이용하는 방법에 대해서 설명하려고 합니다. 챗봇, AI에 대한 디지털 가이드가 필요한 시대에 우리는 살고 있습니다. 점점 더 많이 과 통합되고 있습니다. 매주...",2023.06.30.
11,"[주간경제동향] 무선통신 경제성장 분석 (인공지능,6g)","지금까지 인공지능 6G관련 무선통신 경제에 대해 살펴봤습니다. 이 산업에 필요한 건 초성능, 초대역, 초공간, 초정밀 및 지능입니다. 10년 단계로 발달하는 이동통신 기술이 전 산업과 사회에서 인프라를 형성하려면 다양한 통신요구를 만족해야 할 겁니다. 5G에서 볼 수 없었던 차별된 기술들이 모여 미래의 혁신산업을 독자적으로 이끌 거라고 생각하며 오늘 분석을...",2023.10.10.
12,글로벌ETF! (12편) : 인공지능과 로보틱스 (Artificial Intelligence & Robotics),기고 : Global X 이경화 애널리스트 www.globalxetfs.com 지난시간에는 미국의 인플레이션 감축 법안 (Inflation Reduction Act)에 대해서 알아보았는데요 이번 시간에는 최근에 시장을 뜨겁게 달군 인공지능 및 로보틱스 테마에 대해서 알아보겠습니다. 코로나를 겪으면서 여러 산업에서 (AI)과 로봇은 모든 규모의 기업이 직면한 문제를 해결할 수 있는 혁신적인...,2023.08.02.
13,"적금 가입 vs 펀드 투자, 인공지능이 운용하는 콴텍 수익률과 추천 이유",저는 작년부터 인공지능이 주식을 매매해주는 '콴텍'에 돈을 넣어 운영하고 있습니다. 다른 이유는 없습니다. 그냥 수익률이 좋아서입니다. 저와 같은 생각을 하고 계신분이 많은지... 개설된 증권사 계좌에 입금하면 인공지능이 자동으로 매매를 시작합니다. 돈을 찾을 땐 콴텍 앱에서 상품을 해지하면 보유한 주식을 환매해 증권사 계좌로 입금 받을 수 있습니다....,2023.07.03.
14,[테마주분석] 의료기기와 ai 인공지능 의료용로봇 관련주 정리,"다섯 번째 셀루메드 사업부문 - 의료기기와 바이오로직스, 코스메슈티컬 의료기기 - 탈회골, 합성고분자 무릎연골 연구개발 무릎인공관절 전치환술에 세루메드의 첨단 로봇을 사용하고 있다고 합니다. 지금까지 의료기기와 의료용로봇 관련주들을 알아봤습니다. 이번에는 어떤 종목들이 있는지 살펴봤고 다음시간엔 각 종목 중 관심목록으로 넣어두면...",2023.08.29.
15,‘상품 들고 나오면 자동 결제’...인공지능(AI) 스마트 편의점,출처=GS리테일 GS25가 사람 없이 인공지능(AI) 솔루션 만으로 운영되는 스마트 편의점 'GS25 DX 랩(LAB) 가산스마트점'을 오픈했습니다. 서울 금천구 가산디지털단지역 인근의 'GS25 DX 랩... 출처=이마트24 지난 1월부터는 신세계아이앤씨의 ‘스파로스 (AI) 수요예측’ 시스템을 도입해 이전에 1시간 이상 소요됐던 발주 시간을 5분으로 줄였는데요. 현재 13개...,2023.10.10.
